PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,pagina
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,,,Plano Referência,,103,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUProcedimento de Alta ComplexidadeIONAL,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
SESSÃO COM TERAPEUTA OCUProcedimento de Alta ComplexidadeIONAL,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
"TRANSPORTE EXTRA-HOSPITALAR DE Procedimento de Alta ComplexidadeIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO
ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
VISITA HOSPITALAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
ACOMPANHAMENTO CLÍNICO Seg. AmbulatorialULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
ACOMPANHAMENTO CLÍNICO Seg. AmbulatorialULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
ACOMPANHAMENTO CLÍNICO Seg. AmbulatorialULATORIAL PÓS-TRANSPLANTE HEPÁTICO,546/2022,03/10/2022,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
ACOMPANHAMENTO CLÍNICO Seg. AmbulatorialULATORIAL PÓS-TRANSPLANTE RENAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
"ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍSeg. OdontológicaO DE INTERNAÇÃO DO RECEPTOR E
DO DOADOR",546/2022,03/10/2022,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
"ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍSeg. OdontológicaO DE INTERNAÇÃO DO RECEPTOR E DO
DOADOR",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
"AVALIAÇÃO CLÍNICA E ELETRÔNICA DE Procedimento de Alta ComplexidadeIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO
IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU
MONITOR DE EVENTOS)",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,Seg. Odontológica,,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
"FORNECIMENTO DE EQUIPAMENTOS COLETORES E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E
UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO -
PROUT)",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",4
PROFILAXIA: POLIMENTO CORONÁRIO,,,Seg. Odontológica,,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,64,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO),536/2022,06/05/2022,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,152,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
"MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A
TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO)",,,,Seg. Ambulatorial,,,Plano Referência,Procedimento de Alta Complexidade,54,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
CARDIOTOCOGRAFIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,,,,Seg. Ambulatorial,,,Plano Referência,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
MONITORIZAÇÃO Seg. AmbulatorialULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO,,,,Seg. Ambulatorial,,,Plano Referência,,56,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
"MONITORIZAÇÃO Seg. AmbulatorialULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO
RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO",581/2023,12/072023,,Seg. Ambulatorial,,,Plano Referência,,162,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
MONITORIZAÇÃO HEMSeg. OdontológicaINÂMICA INVASIVA OU NÃO INVASIVA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,67,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,,,,Seg. Ambulatorial,,,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
BIOFEEDBACK COM EMG,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
EXERCÍCIOS DE ORTÓPTICA,,,,Seg. Ambulatorial,,,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",5
REABILITAÇÃO LABIRÍNTICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
"REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU
REUMÁTICOS",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
